STL,Type
eventually [t1:t2] (rise (sig1 >= val1 and sig1 <= val2)),invariance_reachability
always ( eventually (sig1 <= val1) -> eventually [t1:t2] (sig2 == val2) ),temporal_response
always ( rise (sig1 == val1) -> not (sig2 >= val2 and sig2 <= val3) and rise (sig3 >= val4) ),immediate_response
always [0:t1] (sig1 < val1 or sig2 == val2),invariance_reachability
eventually [0:t1] (sig1 < val1),invariance_reachability
always ( not ((sig1 == val1) since [t1:t2] (sig2 == sig3)) -> always [t3:t4] (sig4 >= val2) ),temporal_response
always ( sig1 > val1 or sig2 == sig3 -> always [0:t1] (eventually (rise (sig4 > val2 and sig4 < val3))) ),stabilization_recurrence
always ( rise (sig1 > val1 and sig1 <= val2) or rise (sig2 > val3) -> (sig3 == sig4) until [0:t1] (not (sig5 == sig6)) ),temporal_response
always ( once [0:t1] (sig1 < val1) -> eventually [0:t2] (not (sig2 == val2)) ),temporal_response
always [0:t1] (sig1 < val1 and sig2 <= val2),invariance_reachability
always ( sig1 == val1 -> always [0:t1] (sig2 == val2) ),temporal_response
eventually [0:t1] (rise (sig1 == sig2)),invariance_reachability
always ( rise (sig1 >= val1) -> sig2 < val2 and fall (sig3 > val3 and sig3 <= val4) ),immediate_response
always ( rise (sig1 < val1) -> eventually [0:t1] (sig2 >= val2) ),temporal_response
always ( sig1 < val1 and sig2 >= val2 -> always (eventually [0:t1] (sig3 < val3)) ),stabilization_recurrence
always ( not (sig1 > val1) and sig2 == val2 -> rise ((sig3 <= val3) until [0:t1] (rise (sig4 > val4 and sig4 < val5))) ),temporal_response
eventually (rise (sig1 <= val1) or sig2 >= val2),invariance_reachability
always ( sig1 == sig2 and sig3 < val1 -> always [0:t1] (sig4 <= val2) ),temporal_response
always ( not fall (sig1 >= val1) -> always [t1:t2] (eventually (rise (sig2 > val2))) ),stabilization_recurrence
always ( rise (sig1 >= val1) -> eventually [0:t1] (always [0:t2] (sig2 == sig3)) ),stabilization_recurrence
always ( (sig1 > val1 and sig1 < val2) or sig2 > val3 -> eventually [t1:t2] (always (sig3 >= val4)) ),stabilization_recurrence
always [0:t1] (sig1 == val1 or sig2 > val2),invariance_reachability
always ( rise (sig1 > val1 and sig1 < val2) -> eventually [0:t1] (rise (sig2 < val3)) ),temporal_response
always ( (sig1 == val1) since [t1:t2] (not (sig2 >= val2)) -> always (sig3 < val3) ),temporal_response
always [0:t1] (sig1 > val1 and sig2 == sig3),invariance_reachability
eventually [0:t1] (not (sig1 == val1) and fall (sig2 == val2)),invariance_reachability
always ( fall (sig1 >= val1 and sig1 <= val2) -> not ((sig2 == sig3) since [t1:t2] (sig4 > val3)) ),temporal_response
always ( rise (sig1 <= val1) -> (sig2 == val2) until [t1:t2] (sig3 == sig4) ),temporal_response
always ( not (sig1 <= val1) or not (sig2 >= val2) -> sig3 > val3 and sig4 == sig5 ),immediate_response
always ( rise (sig1 > val1 and sig1 < val2) -> always [0:t1] (sig2 > val3 and sig2 < val4) ),temporal_response
always ( sig1 < val1 and sig2 >= val2 -> sig3 < val3 or not rise (sig4 >= val4) ),immediate_response
always ( once (sig1 < val1) -> eventually [t1:t2] (sig2 == val2) ),temporal_response
always (sig1 == val1),invariance_reachability
always ( rise (sig1 < val1) -> not (always [t1:t2] (sig2 == sig3)) ),temporal_response
always ( rise (sig1 == val1) and sig2 < val2 -> sig3 > val3 and sig3 < val4 ),immediate_response
eventually (sig1 == sig2 and rise (sig3 < val1)),invariance_reachability
always [0:t1] (sig1 > val1 and sig1 <= val2),invariance_reachability
always ( once [0:t1] (sig1 < val1) -> not (always [0:t2] (sig2 == sig3)) ),temporal_response
always ( sig1 < val1 and sig2 >= val2 -> always [0:t1] (not (sig3 == sig4)) ),temporal_response
always ( rise (sig1 == sig2) -> sig3 == val1 ),immediate_response
always ( not (once [t1:t2] (sig1 > val1 and sig1 < val2)) -> eventually [0:t3] (always [0:t4] (sig2 > val3 and sig2 < val4)) ),stabilization_recurrence
always [0:t1] (sig1 == sig2 and sig3 == val1),invariance_reachability
always ( fall (sig1 == val1) -> rise (sig2 > val2) ),immediate_response
always (sig1 == val1),invariance_reachability
always ( always (sig1 >= val1 and sig1 <= val2) -> always [0:t1] (eventually [0:t2] (sig2 >= val3)) ),stabilization_recurrence
always [t1:t2] (not (sig1 <= val1) and not (sig2 == sig3)),invariance_reachability
always ( sig1 >= val1 or sig2 > val2 -> sig3 == sig4 ),immediate_response
eventually [0:t1] (sig1 >= val1 and sig2 > val2),invariance_reachability
always ( not fall (sig1 == val1) and sig2 == sig3 -> (not (sig4 == sig5)) since [0:t1] (fall (sig6 > val2 and sig6 <= val1)) ),temporal_response
always ( _ >= val1 -> rise (always (not (sig1 < val2))) ),temporal_response
always ( fall (sig1 == val1) -> (not (sig2 > val2)) until (rise (sig3 >= val3 and sig3 <= val4)) ),temporal_response
eventually [t1:t2] (sig1 < val1 or sig2 <= val2),invariance_reachability
always ( sig1 >= val1 and sig2 > val2 -> eventually [0:t1] (always [0:t2] (sig3 > val3 and sig3 < val4)) ),stabilization_recurrence
always ((sig1 > val1 and sig1 < val2) and sig2 < val3),invariance_reachability
always ( sig1 == sig2 -> always (sig3 == val1) ),temporal_response
always ( fall (sig1 == sig2) -> sig3 > val1 and sig3 < val2 ),immediate_response
always ( not (historically [0:t1] (sig1 == val1)) -> eventually (always [0:t2] (sig2 == val2)) ),stabilization_recurrence
always ( (not fall (sig1 >= val1 and sig1 <= val2)) until [0:t1] (fall (sig2 == sig3)) -> eventually (fall (sig4 == sig5)) ),temporal_response
always [0:t1] (not (sig1 > val1 and sig1 < val2) or sig2 >= val3),invariance_reachability
always ( rise (sig1 >= val1 and sig1 <= val2) -> always [0:t1] (eventually [0:t2] (rise (sig2 >= val3 and sig2 <= val4))) ),stabilization_recurrence
always ( fall (sig1 >= val1 and sig1 <= val2) -> (sig2 >= val3) until [0:t1] (sig3 >= val4 and sig3 <= val5) ),temporal_response
always ( sig1 == sig2 -> eventually (sig3 == val1) ),temporal_response
always ( not fall (sig1 >= val1) -> always [t1:t2] (eventually (rise (sig2 > val2))) ),stabilization_recurrence
eventually (fall (sig1 == sig2)),invariance_reachability
always ( rise (sig1 < val1) -> sig2 == sig3 and sig4 == sig5 ),immediate_response
eventually [0:t1] (sig1 == sig2 and rise (sig3 >= val1)),invariance_reachability
always [t1:t2] (not fall (sig1 > val1 and sig1 < val2) or not (sig2 > val3)),invariance_reachability
always [0:t1] (sig1 == sig2 or sig3 < val1),invariance_reachability
always ( historically [0:t1] (sig1 == val1) -> eventually [0:t2] (always [0:t3] (sig2 == val2)) ),stabilization_recurrence
always [t1:t2] (sig1 == val1 or sig2 == val2),invariance_reachability
always [t1:t2] (sig1 >= val1),invariance_reachability
always ( rise (sig1 <= val1) -> (sig2 <= val2) until [0:t1] (sig3 <= val3) ),temporal_response
always ( (sig1 == sig2) since [t1:t2] (sig3 >= val1) -> always [0:t3] (eventually [0:t4] (sig4 == sig5)) ),stabilization_recurrence
always ( rise (sig1 > val1 and sig1 <= val2) -> (sig2 >= val3) until [0:t1] (sig3 > val4 and sig3 < val5) ),temporal_response
always (sig1 == sig2 or sig3 <= val1),invariance_reachability
always [t1:t2] (sig1 >= val1),invariance_reachability
always ( rise (sig1 > val1) and sig2 > val2 -> not (eventually (sig3 > val3 and sig3 <= val4)) ),temporal_response
always [0:t1] (sig1 >= val1),invariance_reachability
eventually (rise (sig1 == sig2)),invariance_reachability
always ( (not (sig1 == sig2)) since [t1:t2] (sig3 == val1) -> always [0:t3] (eventually [0:t4] (rise (sig4 >= val2 and sig4 < val3))) ),stabilization_recurrence
always [t1:t2] (sig1 == sig2),invariance_reachability
always [t1:t2] (not (sig1 > val1 and sig1 < val2) or not (sig2 == sig3)),invariance_reachability
always ( rise (sig1 >= val1 and sig1 <= val2) -> (sig2 >= val3 and sig2 <= val4) until [0:t1] (sig3 > val5 and sig3 < val6) ),temporal_response
always ( sig1 == val1 -> always [0:t1] (eventually [0:t2] (rise (sig2 == sig3))) ),stabilization_recurrence
always ( once [0:t1] (sig1 == val1) -> rise ((sig2 >= val2) until (rise (sig3 < val3))) ),temporal_response
always ( sig1 >= val1 and sig1 <= val2 -> eventually (sig2 == val3) ),temporal_response
always ( sig1 < val1 -> sig2 > val2 and sig2 < val3 ),immediate_response
always ( fall (sig1 >= val1 and sig1 < val2) -> (sig2 > val3) since (sig3 > val4) ),temporal_response
always (sig1 == sig2),invariance_reachability
eventually [t1:t2] ((sig1 >= val1 and sig1 <= val2) and sig2 >= val3),invariance_reachability
always [0:t1] (sig1 == val1 and sig2 == val2),invariance_reachability
