stl,English,Type
always ( (TsutZVA7 > 1989 and TsutZVA7 < 2103) and AKoUCZqQ == Yiel0 -> always (eventually [97.0:98.1] (M >= 6)) ),"It is always the case that while TsutZVA7 stays larger than 1989 and below 2103, and the state of AKoUCZqQ is in Yiel0, then all of the following conditions are true: for every time point in the future until the execution ends, the M signal will have to be greater than or equal to 6 finally at a time within the following 97.0 to 98.1 time units.",stabilization_recurrence
always [0:3] (ldv_2 <= 2),Continuously the ldv_2 signal shall keep at most 2 for each time point in the first 3 time units.,invariance_reachability
always ( Qc4XW2rjnU == pSh and (_jQ >= 0.04 and _jQ <= 0.45) -> historically [0:77] (not rise (sW == EI2EP)) ),"It is always the case that when the mode of Qc4XW2rjnU is set to pSh, and the value of signal _jQ is greater than or equal to 0.04 and less than or equal to 0.45, then the scenario that the sW signal was changed to EI2EP should consecutively not get observed during the past 77 time units.",temporal_response
eventually [0:61] (eE <= 54),At a time in less than 61 time units the value of eE will stay less than or equal to 54 eventually.,invariance_reachability
always ( POv5_ == 43.92 and rise (u6cycw > 2434.96) -> sI >= 36 or rise (OeSVg51E <= 6) ),"It is always the case that whenever the value of signal POv5_ stays equal to 43.92, and the transition action that the u6cycw signal crosses the threshold of 2434.96 gets detected then at the same moment the value of signal sI must stay greater than or equal to 36, or the scenario that OeSVg51E drops to at most 6 will get observed without any delay.",immediate_response
always ( rise (p < 13) -> always (eventually (BDn4 < 9.7)) ),"On condition that the transition action that the value of signal p goes below 13 takes place, then in response for each time point in the future before the end of the simulation, at sometime in the future before the end of the simulation the BDn4 signal has to eventually stay less than 9.7.",stabilization_recurrence
always ( rise (pt == 2.6) -> xvLkP21 < 14 ),In the case the event that pt shifts to 2.6 takes place then in response xvLkP21 will have to be smaller than 14 at the same time.,immediate_response
eventually (SSaO9TG5 > 6),Ultimately the value of SSaO9TG5 ought to be larger than 6 at sometime in the future.,invariance_reachability
always ( rise (JFbp8s == ep) -> once (LrM37XR0 == 0) ),"It is always the case that whenever the event that the mode of signal JFbp8s shifts to ep occurs, then all of the following conditions are true: the value of signal LrM37XR0 had to equal to 0 once at a time in the past.",temporal_response
always ( McpG > 74.23 -> not fall (eventually [8:10] (not (qcb <= 9))) ),"If McpG is over 74.23, then the condition that ultimately the qcb signal is not less than or equal to 9 at a certain time instant in the subsequent 8 to 10 time units shan't be detected to shift from true to false.",temporal_response
eventually [0:66] (not (Oc1HR9 > 2 and Oc1HR9 < 39) and (TcXJRb7z > 3.2 and TcXJRb7z < 3.6)),"At a certain moment within the first 66 time units, the value of signal Oc1HR9 will have to be in the outside of the range (2, 39) and eventually the value of TcXJRb7z will be greater than 3.2 and below 3.6.",invariance_reachability
eventually (PE1QL5yp == 80 and VBY_5 == 1),At a certain time instant in the future before the end of the execution finally the value of PE1QL5yp should be equal to 80 and ultimately VBY_5 ought to be equal to 1.,invariance_reachability
eventually [0:7] (JI == Oen or not (gXNA7LNhNr == 2422.85)),"At a certain moment within the first 7 time units, ultimately the state of JI is Oen or finally the value of gXNA7LNhNr mustn't be set to 2422.85.",invariance_reachability
always ( y6mGB7 == S_HEgQwTF -> rise (Uj == 1) ),"In the case the state of y6mGB7 is set to S_HEgQwTF, then the following condition holds: the scenario that Uj gets set to 1 will immediately take place.",immediate_response
always [19.8:95.2] (lEh5_CgmY > 2 and j6 == 7),"For every time point during the first 19.8 to 95.2 time units the value of signal lEh5_CgmY ought to consistently remain above 2, and the value of j6 is consistently equal to 7.",invariance_reachability
eventually [0:730] (HOGUwDpUT9 == 91),"At a time during the first 730 time units, HOGUwDpUT9 must stay at 91 eventually.",invariance_reachability
always [0:6] (Z9A8ha6_ < 67),Without interruption the value of signal Z9A8ha6_ needs to remain below 67 for every time instant in the first 6 time units.,invariance_reachability
always [0:8] (hC == ROs),The mode of signal hC has to be set to ROs without interruption during the first 8 time units.,invariance_reachability
always ( (Hxq1RhD8xR > 2 and Hxq1RhD8xR < 3) and _vFp1bYm_X == bR -> eventually [0:2] (always [0:4] (HdXOtwa == 95)) ),"If the value of Hxq1RhD8xR keeps larger than 2 and below 3 and the state of _vFp1bYm_X is bR, then all of the following conditions are true: eventually after a time within the coming 2 time units, the value of HdXOtwa has to be equal to 95 and this condition ought to consecutively hold for each time instant within the next 4 time units.",stabilization_recurrence
always ( k2xzR9 >= 1.8 and k2xzR9 <= 4.3 -> (OVO == pj3k3) until [1850:1884] (SdMcb3LU > 7 and SdMcb3LU < 10) ),"On condition that the value of k2xzR9 is no less than 1.8 and no more than 4.3, then the mode of OVO needs to be pj3k3 and should hold like that consistently until finally at a certain moment within the first 1850 to 1884 time units the SdMcb3LU signal is bigger than 7 and smaller than 10.",temporal_response
always ( fall (CzZZl == n) -> vMK3 >= 5 ),"As soon as the transition action that the state of CzZZl becomes not set to n occurs, then in response vMK3 needs to be no less than 5 instantly.",immediate_response
always [3.44:6.39] (HikbSP < 0.2 and tna5z < 5.18),"During the first 3.44 to 6.39 time units, the value of HikbSP will continuously stay below 0.2 and the value of signal tna5z has to remain less than 5.18 consecutively.",invariance_reachability
always ( rise (vvKE <= 4) -> (xxBOd >= 233) until (_F8RRh > 79.06 and _F8RRh < 87.06) ),"Globally, whenever the scenario that the value of signal vvKE decreases to less than or equal to 4 gets observed, then the following condition is true: consecutively the xxBOd signal ought to keep greater than or equal to 233 until at sometime in the future before the end of the execution, the value of _F8RRh is bigger than 79.06 and less than 87.06 eventually.",temporal_response
always ( A < 8 and ZD6XDAfT >= 6.9 -> always [7.62:9.58] (eventually [72:77] (rise (txsjCkq > 96))) ),"Globally, during the interval that the A signal is smaller than 8 and the value of signal ZD6XDAfT is greater than or equal to 6.9, then all of the following conditions hold: for every moment during the following 7.62 to 9.58 time units there shall be sometime in the coming 72 to 77 time units ultimately, at which the event that txsjCkq exceeds 96 will get detected.",stabilization_recurrence
always [0:6] (not (Dx >= 7.65 and Dx <= 9.4)),"The value of Dx is out of the range [7.65, 9.4] for every time point in the first 6 time units.",invariance_reachability
always ( rise (IX > 3) -> always [0:294] (eventually [0:7] (rise (Pb4YTYz < 7))) ),"On condition that the scenario that IX exceeds 3 is observed then all of the following conditions are true: for each moment during the first 294 time units at a certain moment during the next 7 time units, finally the scenario that the value of signal Pb4YTYz goes lower than 7 ought to be observed.",stabilization_recurrence
always ( rise (c_7PAJx == V7) -> always [0:7] (eventually [0:21] (rise (bF > 44))) ),"It is always the case that everytime when the transition action that c_7PAJx gets shifted to V7 occurs then the following condition holds: for each moment in the subsequent 7 time units, at a certain time instant after at most 21 time units the transition action that bF becomes larger than 44 should ultimately occur.",stabilization_recurrence
always [0:3] ((WjaoNgAVWw > 785 and WjaoNgAVWw < 1298) and (JMlmOM >= 2009 and JMlmOM <= 2200)),"For every time point during the first 3 time units the WjaoNgAVWw signal needs to be consistently bigger than 785 and less than 1298, and the value of signal JMlmOM should continuously stay greater than or equal to 2009 and no larger than 2200.",invariance_reachability
always ( rise (eg4YP8t >= 3 and eg4YP8t <= 5) -> (RkQP == 8) until [0:3.6] (SQzw <= 58.36) ),"It is always the case that when the transition action that eg4YP8t enters the region [3, 5] occurs then in response there shall be a time in the following 3.6 time units finally, at which the value of SQzw will remain at most 58.36, and before that continuously the value of RkQP remains on 8.",temporal_response
