STL,English,Type
eventually [t1:t2] (rise (pred1 and pred2)),"Ultimately there must exist a certain time instant within t1 to t2 time units, at which the scenario that the pred1 and pred2 must be observed.",invariance_reachability
always ( eventually (pred1) -> eventually [t1:t2] (pred2) ),"In the case there will be a certain time instant in the future before the end of the simulation, at which the value of pred1 then in response ultimately the pred2 at a certain time instant in the next t1 to t2 time units.",temporal_response
always ( rise (pred1) -> not (pred2 and pred3) and rise (pred4) ),On condition that the scenario that the value of signal pred1 happens then all of the following conditions are true: without any delay the pred2 and pred3 and the scenario that the value of signal pred4 will be observed instantly.,immediate_response
always [0:t1] (pred1 or pred2),For each time point during the first t1 time units the value of pred1 or without interruption the value of pred2,invariance_reachability
eventually [0:t1] (pred1),"At a certain time point in the first t1 time units, the pred1",invariance_reachability
always ( not ((pred1) since [t1:t2] (pred2)) -> always [t3:t4] (pred3) ),"Globally, when the subsequent condition will not be true: there was a certain time point before between t1 to t2 time units, at which once the mode of signal pred2 after this consistently the value of signal pred1 then the value of pred3 for each moment in the coming t3 to t4 time units.",temporal_response
always ( pred1 or pred2 -> always [0:t1] (eventually (rise (pred3 and pred4))) ),"It is always the case that whenever pred1 or the state of pred2 then all of the following conditions are true: for each time instant in the next t1 time units, at a certain time point in the future before the end of the simulation, the transition action that the pred3 and pred4 has to be detected finally.",stabilization_recurrence
always ( rise (pred1 and pred2) or rise (pred3) -> (pred4) until [0:t1] (not (pred5)) ),"Globally, if the event that the value of pred1 and pred2 occurs, or the event that pred3 is detected, then there must be a certain time point within the following t1 time units, at which ultimately the state of pred5 before this the state of pred4 all the time.",temporal_response
always ( once [0:t1] (pred1) -> eventually [0:t2] (not (pred2)) ),"Everytime when there would exist a certain time instant in the last t1 time units, at which the pred1 then all of the following conditions hold: there must be eventually a certain moment within t2 time units, at which the value of pred2",temporal_response
always [0:t1] (pred1 and pred2),"For each time point within the first t1 time units, without interruption the value of signal pred1 and uninterruptedly pred2",invariance_reachability
always ( pred1 -> always [0:t1] (pred2) ),When the pred1 then the following condition is true: the pred2 consecutively for each time instant within the next t1 time units.,temporal_response
eventually [0:t1] (rise (pred1)),"Eventually there has to be a certain time instant within t1 time units, at which the scenario that the mode of signal pred1 needs to happen.",invariance_reachability
always ( rise (pred1) -> pred2 and fall (pred3 and pred4) ),"Globally, in case that the scenario that the value of signal pred1 is detected, then the following condition is true: the value of signal pred2 at the same time, and instantly the event that the value of signal pred3 and pred4 will happen.",immediate_response
always ( rise (pred1) -> eventually [0:t1] (pred2) ),"It is always the case that when the transition action that the pred1 is detected, then the value of signal pred2 finally at a certain time point during the next t1 time units.",temporal_response
always ( pred1 and pred2 -> always (eventually [0:t1] (pred3)) ),In the case pred1 and pred2 then all of the following conditions are true: for each time point in the future till the simulation ends at sometime within the subsequent t1 time units the pred3,stabilization_recurrence
always ( not (pred1) and pred2 -> rise ((pred3) until [0:t1] (rise (pred4 and pred5))) ),When the value of pred1 and the pred2 then the condition that uninterruptedly the value of signal pred3 until ultimately the pred4 and pred5 at a certain time point within the next t1 time units ought to change from false to true.,temporal_response
eventually (rise (pred1) or pred2),"At sometime in the future before the end of the simulation the event that the value of pred1 should eventually get observed, or the value of pred2",invariance_reachability
