STL,English,Complexity
"always[10,100]((z > 5) -> (always[0,40](z > 3) and always[0,200](z <= 8)))","At any moment between 10 and 100 time units, if signal z exceeds 5, it will stay above 3 for at least 40 time units, and it must not exceed 8 within the next 200 time units.",non-nested
"always[0,10](x_1 > 30) -> eventually[5,15](x_2 > 20)","Whenever the temperature signal x_1 remains above 30 degrees throughout the interval [0, 10], there should eventually be an increase in the cooling signal x_2 exceeding 20 units between the intervals [5, 15].",non-nested
"always[50,200]((not always[0,30](p1 > 80)) and (not always[0,10](p2 < 20)))","Between time intervals 50 to 200, the pressure p1 should not exceed 80 units continuously for more than 30 seconds, and within the same time frame, the pressure p2 should not fall below 20 units for more than 10 consecutive seconds.",nested
"always[2,6](x_3 < 10) -> (eventually[3,7](x_4 >= 20) or always[5,8](x_5 > 15))","Whenever signal x3 remains below 10 during the entire interval [2,6], it should be that either signal x4 reaches at least 20 at some time within [3,7] or signal x5 consistently stays above 15 through the interval [5,8].",non-nested
"always[6,12](y>10) and eventually[12,15](y<5)","The signal y remains above 10 throughout the first 6 to 12 time units, and then falls below 5 until time unit 15.",non-nested
"always[2,6](x1 < 20) -> always[2,6](x2 <= 30)","The temperature signal x1 remains below 20 degrees from time 2 to time 6, which implies the pressure signal x2 should never exceed 30 units within the same time interval.",non-nested
"always[100,500](z > 10) -> always[500,700](z <= 50)","If signal z remains above the level 10 during the interval [100, 500], then within the next 200 time units it must not exceed 50.",non-nested
"always[50,400](x_3 > 15 -> eventually[10,20](always[0,5](x_4 < -5)))","If at any time between 50 and 400 time units, signal x_3 exceeds 15, then within 10 to 20 time units afterwards, signal x_4 must drop below -5 and maintain less than -5 for at least 5 units of time.",nested
"always[2,5](x_3 > 10) -> (eventually[3,6](x_4 < -5) or eventually[4,7](x_5 > 15))","Whenever the signal x3 remains greater than 10 during the interval [2,5], it must be true that either signal x4 falls below -5 at least once in the interval [3,6] or signal x5 exceeds 15 during the interval [4,7].",non-nested
"always[0,10](x_3 < -0.5) and eventually[5,15](x_4 > 1.2)","Signal x_3 remains below -0.5 from the start up to time 10, while simultaneously, signal x_4 exceeds 1.2 at least once between time 5 and 15.",non-nested
"eventually[0,60](always[0,5](t1 > 50))",The temperature signal t1 exceeds 50 degrees for at least 5 consecutive minutes within the first hour.,non-nested
"always[100,800](z <= 50 and (x > 10 -> eventually[0,100](always[0,30](x < 3))))","From time units 100 to 800, signal z must not exceed 50, and during this period, if signal x exceeds 10, it must drop below 3 within 100 time units and maintain this for at least 30 time units.",nested
"always[2,6](x_1>0.1) and always[2,6](x_2<0.3)","Signal x_1 stays above 0.1 from time units 2 to 6, and within the same period, signal x_2 stays below 0.3.",non-nested
"always[2,5](temperature > 20) and always[2,5](humidity <= 50)","The temperature signal must be above 20 degrees continuously from time 2 to 5, and simultaneously, the humidity level should not exceed 50% during this period.",non-nested
"always[10,20](t8 <= 70) -> always[0,40](h8 > 40)","If the temperature, t8, does not exceed 70 degrees for the entire duration between 10 and 20 seconds, then it is necessary that within the next 40 seconds, humidity level h8 should consistently be above 40%.",non-nested
"always[0,20](v1 > 10) and eventually[15,30](v2 < 5) -> always[0,25](v3 <= 15)","If signal v1 stays above 10 from start until minute 20, followed by signal v2 dropping below 5 at some point between minute 15 and minute 30, then signal v3 must not go above 15 anytime between minute 0 and minute 25.",non-nested
"always[0,200]((p1 > 120) -> eventually[2,6](v1 > 10))","Every time within the first 200 seconds that the pressure p1 exceeds 120 psi, the vibration v1 should exceed 10 units at any moment between 2 to 6 seconds later.",non-nested
"always[0,100](p1 < 0.5) -> eventually[0,50](p2 > 1)","If pressure p1 remains below 0.5 bars for at least 100 units of time, then pressure p2 must exceed 1 bar within the following 50 units of time.",non-nested
"eventually[0,300](always[0,30](p > 100))",The pressure p at any moment will be higher than 100 units continuously for at least 30 seconds within the next 5 minutes.,nested
"always[0,50](p1 > 100) -> eventually[60,120](v1 > 75)","Whenever the pressure p1 stays above 100 units for the entire duration from time 0 to 50, the voltage v1 must exceed 75 units at least once between time 60 and 120.",non-nested
"always(p1 > 40 -> eventually[0,30](always[0,10](h2 > 20)))","Every time that the pressure p1 exceeds 40 units, ensure that within the subsequent 30 seconds, humidity h2 consistently remains above 20% for at least 10 consecutive seconds.",nested
"always[0,100](x_3<5 and eventually[0,100](x_4>10)) -> always[110,200](x_5>15)","If signal x_3 remains below 5 from 0 to 100 time units and during the same interval if signal x_4 exceeds 10 at least once, then between 110 and 200 time units, signal x_5 must remain above 15.",nested
"eventually[0,120](always[0,40](p_1 > 80)) -> (eventually[0,60](always[0,5](h_2 > 30)) or eventually[0,60](t_3 < 15))","If the pressure p1 is consistently over 80 units for at least 40 seconds within a 2-minute period, then we expect that either the humidity h2 will exceed 30% for at least 5 consecutive seconds or the temperature t3 will drop below 15 degrees within the subsequent minute.",nested
"always[10,20](y == 0.2) and eventually[20,30](y > 0.5)","The signal y must remain exactly at 0.2 from time 10 to 20, and subsequently, within the next 20 to 30 seconds, it should rise above 0.5.",non-nested
"always[0,10](p < 30) -> eventually[0,20](always[0,5](v > 50))","Whenever the pressure p is consistently below 30 units for at least 10 seconds, expect that soon after, within the next 20 seconds, the volume v will surpass 50 units for at least 5 continuous seconds.",nested
"always[0,10](p1 > 30) -> eventually[0,60](always[0,5](p2 < 20))","If the pressure p1 exceeds 30 psi continuously for at least 10 seconds, then within the following 60 seconds, the pressure p2 must remain below 20 psi for at least 5 consecutive seconds.",nested
"always[0,60](always[0,10](p1 > 120) -> eventually[0,30](s1 > 70))","For every interval of 10 seconds in the next 60 seconds, if the pressure p1 is consistently above 120 units, then within the next 30 seconds, the speed s1 should exceed 70 km/h.",nested
"always[5,15](v_2 > 10) -> (eventually[0,20](u_3 < -5) or always[15,25](s_2 > 7))","Whenever v_2 exceeds 10 between 5 to 15 seconds, it should ensure that either u_3 falls below -5 in the next 20 seconds, or s_2 maintains above 7 from 15 to 25 seconds.",non-nested
"always[0,100](x_1<0.3 -> eventually[10,20](x_3>0.8))","Whenever signal x_1 is less than 0.3 within the first 100 time units, signal x_3 must exceed 0.8 at least once between 10 and 20 time units subsequent to each occurrence.",nested
"always[5,10](x_3 > 10) -> (eventually[0,5](x_1 > 20) or always[7,12](x_2 >= -5))","Whenever signal x_3 remains above 10 during the entire interval [5,10], it implies that either signal x_1 will exceed 20 at some point in [0,5] or signal x_2 will not drop below -5 throughout [7,12].",non-nested
"always[0,30](p1 > 80) -> eventually[0,60](v1 == open)","If the pressure p1 exceeds 80 psi continuously over a period of 30 seconds, then the valve v1 must open at least once within the subsequent 60 seconds.",non-nested
"always[5,15](x3 > 7) and always[5,15](x4 <= 10)","The signal x3 must remain above 7 throughout the entire interval from 5 to 15 time units, and signal x4 must not exceed 10 at any time during the same interval.",non-nested
"always[0,20](p1 < 30) and eventually[0,15](h1 > 70) -> always[0,25](t1 > 50)","Whenever the pressure p1 remains below 30 units from time 0 to 20 seconds, and simultaneously, humidity h1 exceeds 70 percent at least once during the first 15 seconds, then the system must ensure that temperature t1 remains strictly above 50 degrees from 0 to 25 seconds.",non-nested
"always[0,100](x_3 < 0.5) -> eventually[50,150](x_4 > 1.0)","If signal x_3 remains below 0.5 from the start until time unit 100, then signal x_4 should exceed 1.0 at least once between 50 and 150 time units after the start.",non-nested
