STL,English,Complexity
"always[0,10](x_10 > 5) -> eventually[8,15](y_10 > 0)","If the robot's proximity sensor output x_10 remains above 5 throughout [0,10], then the robot must detect an object with sensor y_10 at least once within the interval [8,15].",non-nested
"always[0,200](v > 5 -> always[0,10](p <= 1))","In the next 200 seconds, whenever the robot's speed v exceeds 5 m/s, the proximity sensor reading p must not exceed 1 m for any 10-second interval during that period.",nested
"always[15,40](x_3 < 5)",The signal x_3 remains below 5 units from time 15 to 40 seconds.,non-nested
"always[0,10](x_3 <= 2) -> eventually[5,8](x_4 > 10)","Whenever signal x3 is less than or equal to 2 during the first 10 time units, it must always be followed by signal x4 exceeding 10 sometime within the subsequent 5 to 8 units.",non-nested
"always(proximity_sensor < 2 -> eventually[0,10](always[0,30](speed < 15)))","In autonomous driving scenarios, whenever the vehicle's proximity sensor detects an obstacle closer than 2 meters, it must slow down to less than 15 km/h within the next 10 seconds and maintain this speed for at least 30 seconds.",non-nested
"always[0,60](d > 5 and not eventually[0,60](pedestrian_near > 0)) -> always[0,30](acceleration <= 2)","If the autonomous vehicle remains within a safe distance from the vehicle ahead (distance d greater than 5 meters) throughout the next 60 seconds, and during this time the signal indicating pedestrian proximity is never triggered, then for the subsequent 30 seconds, the acceleration should not exceed 2 m/s².",nested
"always[0,10](d < 5) -> eventually[0,60](v < 10)","If the autonomous vehicle senses a pedestrian closer than 5 meters for the first 10 seconds after entering a school zone, then it should decelerate to less than 10 km/h within the next 60 seconds.",non-nested
"always[5,10](x3 < 2) -> always[12,15](x3 > 3)","Whenever signal x3 stays below 2 during the entire interval from 5 to 10, it must stay above 3 from time 12 to 15.",non-nested
"always[0,40](p1>50) -> eventually[10,20](p2 > p1)","Whenever the pressure p1 is above 50 for at least 40 seconds, there will be an immediate increase in the pressure p2 within the next 10 to 20 seconds.",non-nested
"always[0,10](s1 > 1.5) and eventually[10,20](s1 < 1)","In the context of robot navigation, the robot's front proximity sensor variable s1 must not detect any object closer than 1.5 meters during the first 10 seconds, and then it must detect an object closer than 1 meter at least once between 10 and 20 seconds.",non-nested
"always[5,15]((p >= 12) and (v <= 50))","From time 5 to time 15, the pressure p must not drop below 12 units while simultaneously the volume v should not exceed 50 units.",non-nested
"always[0,30](p1 > 100) and eventually[10,40](v1 < 20) -> always[0,50](t1 <= 200)","If the pressure p1 exceeds 100 psi continuously for the duration of 0 to 30 seconds, and simultaneously the volume v1 is less than 20 liters within the interval of 10 to 40 seconds, then the temperature t1 must not rise above 200 degrees during the whole interval from 0 to 50 seconds.",non-nested
"always[0,5](x_1 > 30) and eventually[4,7](x_2 < 40) -> always[0,8](z_1 > 5)","Whenever the temperature (x_1) exceeds 30 degrees during the entire period from 0 to 5 seconds, and if the humidity (x_2) falls below 40% at any point between 4 to 7 seconds, then the cooling system (z_1) must operate continuously above the threshold of 5 units from 0 to 8 seconds.",non-nested
"always[0,8](x_3 > 5) -> always[1,9](x_4 <= 10)","Whenever signal x_3 is above 5 during the interval from 0 to 8, signal x_4 must not exceed 10 throughout the interval from 1 to 9.",non-nested
"always[0,60](always[0,30](p_1 > 70) -> eventually[0,30](v_1 == open))","Whenever pressure p1 exceeds 70 psi for at least 30 continuous seconds within a 60-second window, the valve v1 must open at least once in the following 30 seconds.",nested
"always[0,60](x1 > 0.5) -> always[60,90](x2 <= 0.3)","If signal x1 remains consistently above 0.5 for the first 60 seconds, then signal x2 must not exceed 0.3 at any point during the following 30 seconds.",non-nested
"eventually[0,15](t_1 > 50) -> eventually[15,20](t_1 < 30)","Whenever the temperature (t_1) exceeds 50 degrees at any time within the first 15 minutes, it must subsequently drop below 30 degrees within the next 5 minutes.",non-nested
"always[20,30](v > 50)","The autonomous vehicle should maintain a speed greater than 50 km/h between checkpoints Alpha and Bravo, which takes between 20 and 30 minutes of travel time.",non-nested
"eventually[0,20](x > 10) -> always[0,40](p <= 5)","If the robot's arm position x reaches above 10 units at least once within the next 20 seconds, then for the subsequent 40 seconds, the pressure sensor value p must not exceed 5 units.",non-nested
"eventually[50,100](x_3 > 10) and always[150,200](x_3 > 15)","Signal x3 increases beyond 10 within the time interval [50,100] and remains above 15 between [150,200].",non-nested
"eventually[0,100](p_1 > 50) -> (always[0,50](p_2 < 30) -> always[0,40](p_1 > 60))","If pressure p1 exceeds 50 units at some point within the next 100 seconds, and then pressure p2 is always less than 30 units during the subsequent 50 seconds, afterward the pressure p1 must remain above 60 units for at least the next 40 seconds.",non-nested
"always[0,10](x_1 < 5) -> eventually[5,15](x_2 < 1)","In a robotic navigation scenario, if the distance sensor reading x1 remains below 5 meters constantly from time 0 to 10 seconds, then it's guaranteed that the obstacle sensor x2 will detect an object closer than 1 meter at least once between 5 and 15 seconds.",non-nested
"always[100,500](x>10) and eventually[500,550](always[0,50](x<=15))","During the time interval from 100 to 500, the value of signal x always exceeds 10, and immediately following this interval, signal x must not exceed 15 for at least the next 50 time units.",non-nested
"always[0,10](x3 < -0.5) until[0,10](x5 > 1.0)",The signal x3 remains below -0.5 until signal x5 exceeds 1.0 within the first 10 seconds.,non-nested
"eventually[0,120](always[0,20](omega_1 > 50) and eventually[0,15](tau_1 < 25)) -> always[0,30](f_g > 10)","In the next 120 seconds, if the robot's arm rotation speed (ω_1) exceeds 50 rpm for at least 20 continuous seconds, and simultaneously the arm's torque (τ_1) remains below 25 Nm for at least 15 seconds during this period, then the robot's gripper force (f_g) should consistently exceed 10 N in the following 30 seconds.",nested
"always[0,5](x3 < 10)",The signal x3 remains below 10 for at least the first 5 time units.,non-nested
"always(sensor_distance < 2 -> eventually[0,1](emergency_brake_active > 0))","Whenever the autonomous vehicle's proximity sensor detects an object closer than 2 meters, the emergency braking system must activate within 1 second.",non-nested
"always[2,5](x_3 < 0.5) and eventually[3,7](x_4 > 1.2)","The signal x_3 remains under 0.5 throughout the period from t=2 to t=5, while signal x_4 surpasses 1.2 at least once in the interval from t=3 to t=7.",non-nested
"eventually[0,60](p_1 > 100) -> always[0,30](f_1 >= 30)","If the pressure p1 exceeds 100 psi at any time within the next minute, then the flow rate f1 must not drop below 30 L/min within the following 30 seconds.",non-nested
"always[8,9](proximity <= 100 and isSchoolZone) -> always[8,9](speed <= 20)","Whenever the autonomous vehicle is within a 100-meter radius of a school zone between 8 AM and 9 AM, it must not exceed a speed of 20 km/h for the entire duration.",non-nested
"eventually[0,120](v1 > 50) -> always[0,30](d_obstacle > 30)","Whenever the speed of the autonomous vehicle v1 exceeds 50 km/h within a 120-second interval, there must be no obstacles detected within a 30-meter range for the entire interval.",non-nested
"always[5,15](x_1 > 10) or eventually[20,30](x_2 == 5)","The signal x1 must remain above 10 throughout the interval [5, 15], or at some point during [20, 30], the signal x2 must be exactly 5.",non-nested
