STL,English,Type
always ( MQB_9aFImn < 3.1 and rise (MWvMgV <= 0) -> eventually [0:526] (always [0:2643] (AZ4Jdz185 >= 45)) ),"It is always the case that whenever the value of MQB_9aFImn is smaller than 3.1, and the event that the value of MWvMgV falls to less than or equal to 0 takes place then in response there has to be ultimately sometime during the coming 526 time units, at which for each time point in the coming 2643 time units, the value of AZ4Jdz185 should be greater than or equal to 45 uninterruptedly.",stabilization_recurrence
always ( fall (qjnM4 > 406.7 and qjnM4 < 628.0) -> eventually [0:72] (rise (n2TCR == 18)) ),"In the case the scenario that the value of qjnM4 leaves the range (406.7, 628.0) occurs, then there must finally exist a certain moment within 72 time units, at which the event that the n2TCR signal becomes equal to 18 should get detected.",temporal_response
always ( rise (vGq > 98) -> rise (xKxQv >= 45) ),Everytime when the scenario that the value of vGq goes above 98 is observed then all of the following conditions are true: the scenario that the value of signal xKxQv rises to greater than or equal to 45 must get detected immediately.,immediate_response
always ( rise (_ptN9Gf2 < 42) -> eventually [98:99] (rise (cUrXu0HS >= 0)) ),In the case the event that the value of signal _ptN9Gf2 goes below 42 gets observed then the event that cUrXu0HS becomes no less than 0 must get detected at a time in the subsequent 98 to 99 time units.,temporal_response
always ( v1sGVj > 14 and v1sGVj < 34 -> rise (HkV <= 94) and tZIvM >= 0 ),"Globally, when the value of signal v1sGVj is greater than 14 and less than 34, then all of the following conditions are true: the event that the value of HkV drops to at most 94 shall be observed right away, and tZIvM needs to be at least 0 simultaneously.",immediate_response
always ( fall (y5QWl0vY == a) -> historically [0:31] (P > 22.25 and P <= 95.77) ),As soon as the transition action that the state of y5QWl0vY deviates from a gets observed then continuously P remained above 22.25 and less than or equal to 95.77 during the last 31 time units.,temporal_response
always ( hrgw_zA9 == 6 and XtQ05C2Y < 17 -> o2hfBI0K4_ > 1 and o2hfBI0K4_ < 4 ),"Globally, when the hrgw_zA9 signal remains equal to 6 and the XtQ05C2Y signal remains lower than 17 then all of the following conditions hold: without any delay the value of o2hfBI0K4_ should be higher than 1 and less than 4.",immediate_response
always ( (F6DFmfpXw >= 22 and F6DFmfpXw < 74) and rise (bZmNHwFT9S == 6) -> always (eventually [1028:2224] (rise (ZUeN82EJj == gY_1DnZFy2))) ),"If the value of F6DFmfpXw remains greater than or equal to 22 and smaller than 74 and the transition action that bZmNHwFT9S changes to 6 is detected then for each time instant in the future before the end of the simulation, there will have to be a certain moment in the next 1028 to 2224 time units, at which the transition action that ZUeN82EJj is changed to gY_1DnZFy2 will have to eventually happen.",stabilization_recurrence
always (EKt < 25 or uzMV == 50),"In the future till the simulation ends continuously the value of signal EKt will have to keep below 25, or the value of uzMV must stay at 50.",invariance_reachability
always ( u728Kj6x == C2niyz or (TD__m >= 7.9 and TD__m <= 9.1) -> always [0:523.1] (aAAA >= 5.1) ),"Everytime when the mode of signal u728Kj6x is in C2niyz, or the value of signal TD__m is greater than or equal to 7.9 and less than or equal to 9.1 then the following condition is true: the value of signal aAAA is greater than or equal to 5.1 and then this scenario will be always lasting during the first 523.1 time units.",temporal_response
always ( (p6hO5wiWyV > 35.7 and p6hO5wiWyV < 51.7) or YcUmPi == Ynzjt -> _n6tduaZo > 34 and _n6tduaZo < 56 ),"As soon as the value of p6hO5wiWyV is higher than 35.7 and less than 51.7, or the mode of YcUmPi is in Ynzjt, then instantly the value of signal _n6tduaZo will have to be greater than 34 and below 56.",immediate_response
always ( once [0:1143.81] (rise (yxxw1Prz == 58.9)) -> eventually (always [0:8] (KreR0dXa == z_HYfi)) ),"Whenever the transition action that the value of yxxw1Prz gets changed to 58.9 will be detected once at a certain moment within the elapsed 1143.81 time units, then the following condition holds: there needs to be sometime in the future before the simulation ends, after which the state of signal KreR0dXa ought to be set to z_HYfi consistently for each time point in the subsequent 8 time units.",stabilization_recurrence
always ( rise (wUUubgiw >= 963 and wUUubgiw < 1046) -> eventually [8:9] (fall (v >= 68.2 and v < 72.1)) ),"It is always the case that in case that the scenario that the value of signal wUUubgiw enters the range [963, 1046) occurs, then at a certain moment within 8 to 9 time units the value of v will ultimately get out of the range [68.2, 72.1).",temporal_response
always ( Io > 56 and Io < 82 -> always [0:9] (eventually [0:816] (AJaBM_H < 1)) ),"In the case the value of Io is higher than 56 and less than 82, then all of the following conditions are true: for every moment during the first 9 time units at a certain time point within the following 816 time units, eventually AJaBM_H has to keep lower than 1.",stabilization_recurrence
always ( rise (pvv == i0AbS_u) -> eventually (always (GqC == 1524)) ),"Globally, if the event that the state of signal pvv is shifted to i0AbS_u gets observed then all of the following conditions hold: ultimately there needs to exist a certain time instant in the future before the execution ends, after which GqC ought to keep equal to 1524 in the future till the execution ends.",stabilization_recurrence
eventually [0:42] (UuB == 639),Finally the value of signal UuB should be equal to 639 at a certain moment in the first 42 time units.,invariance_reachability
eventually [0:3.8] (not (TXWXxs >= 2) and WTCIG == mZikbGLJN),"At a time within 3.8 time units the value of signal TXWXxs shall not be greater than or equal to 2 ultimately, and the mode of signal WTCIG ought to be mZikbGLJN.",invariance_reachability
always ( rise (SZZJ < 527) -> always [53.98:71.16] (eventually [10:84] (ZCJiiX6 > 0 and ZCJiiX6 < 10)) ),"As soon as the transition action that SZZJ drops below 527 is observed, then in response for every time point within the subsequent 53.98 to 71.16 time units there ought to be eventually a time during the subsequent 10 to 84 time units, at which the value of ZCJiiX6 needs to be higher than 0 and less than 10.",stabilization_recurrence
eventually (m >= 3 and not (DKcTTJ3 == M4x)),"There should be sometime in the future before the end of the simulation eventually, at which the value of m is greater than or equal to 3, and the state of DKcTTJ3 shan't be in M4x.",invariance_reachability
always ( rise (AX1X1x5 == m9CYvDLl) -> eventually [0:14] (always [0:3] (J4iR2_BlI == A_o_yFYUFD)) ),"On condition that the AX1X1x5 signal becomes m9CYvDLl then after a certain time point during the first 14 time units, without interruption the state of J4iR2_BlI will have to be set to A_o_yFYUFD for each time instant within the next 3 time units.",stabilization_recurrence
always ( rise (vpNDu < 76) and not (M74 <= 8) -> eventually [0:7] (always [4:5] (Q > 2 and Q < 7)) ),"As soon as the transition action that the value of signal vpNDu goes down to lower than 76 gets detected and the M74 signal isn't less than or equal to 8, then at a certain time instant within the next 7 time units, during the coming 4 to 5 time units, continuously the Q signal ought to be larger than 2 and less than 7.",stabilization_recurrence
eventually [5:8] (_f3LZ_Lte3 == Go and b6u8qC3E <= 82.57),"At a certain time instant within 5 to 8 time units _f3LZ_Lte3 has to be eventually in Go, and b6u8qC3E has to be eventually less than or equal to 82.57.",invariance_reachability
always ( rise (RKzxwcK >= 68 and RKzxwcK <= 88) -> historically [40.4:72.47] (xCA_ >= 8.3) ),"It is always the case that if the scenario that the RKzxwcK signal enters the range [68, 88] is detected then in response without interruption the xCA_ signal must be no less than 8.3 within the last 40.4 to 72.47 time units.",temporal_response
always [0:64] (CCuoYd > 6 and CCuoYd < 7),"For each moment within 64 time units, consecutively CCuoYd shall stay higher than 6 and less than 7.",invariance_reachability
eventually [2:4] (fall (p0kX_ >= 6 and p0kX_ <= 8) and G == z0__QLQHWH),"At a time within the first 2 to 4 time units, ultimately the transition action that p0kX_ leaves the range [6, 8] has to happen, and eventually the state of G needs to be z0__QLQHWH.",invariance_reachability
always ( fall (KFEF > 1821 and KFEF < 2839) -> rk >= 7 ),"It is always the case that everytime when the scenario that the KFEF signal gets out of the range (1821, 2839) is observed then all of the following conditions hold: at the same moment the value of signal rk needs to remain greater than or equal to 7.",immediate_response
